region,abbrevs,names,fire_climate_class_mean,fire_climate_class_min,fire_climate_class_max,fire_climate_class_mode
0,WANorth,Western Australia North,100.96926412803184,100.0,101.99419031382422,101.0
1,WASouth,Western Australia South,101.35096746375889,100.99999999999999,103.99999946349999,101.0
2,NSW,New South Wales and Australian Capital Territory,102.00643435266733,101.0,103.99999983995804,101.0
3,VIC,Victoria,102.84413023686672,101.0,103.99999999716238,102.0
4,SA,South Australia,101.32751043654588,101.0,104.0,101.0
5,TAS,Tasmania,102.07149108578272,102.0,104.0,102.0
6,NT,Northern Territory,100.88096291337493,99.99999999999999,101.0,101.0
7,QLDNorth,Queensland North,100.91793602099885,100.0,103.99999992735684,101.0
8,QLDSouth,Queensland South,101.17212105197841,100.0,103.99999965418829,101.0
9,AUS,Australia,101.26572742475246,100.0,103.99999302020296,101.0
