region,abbrevs,names,pr_mean,pr_min,pr_max
0,WANorth,Western Australia North,921.9096409606666,123.61382,3520.6511
1,WASouth,Western Australia South,545.3172303591477,241.105,2042.0865
2,NSW,New South Wales and Australian Capital Territory,768.1010467225989,294.329,3441.1047
3,VIC,Victoria,909.3110547475942,409.7437,3111.9631
4,SA,South Australia,575.9516714148798,284.44653,1559.942
5,TAS,Tasmania,1760.669276090645,555.6436,4631.8145
6,NT,Northern Territory,941.405579242988,397.3852,3983.0918
7,QLDNorth,Queensland North,766.4455674913321,264.41672,7146.5483
8,QLDSouth,Queensland South,584.1711237807328,283.1431,1700.4246
9,AUS,Australia,742.7347665661101,123.61382,7146.5483
